# Harris-Priester coefficients from local MATLAB HPOP HPcoeff.m
# density columns are HPOP gram/km^3 values; runtime converts to kg/m^3.
f107,altitude_km,rho_min_g_km3,rho_max_g_km3
100,2.2000000e+02,9.4590000e-02,1.4520000e-01
100,2.3000000e+02,6.7370000e-02,1.1050000e-01
100,2.4000000e+02,4.8800000e-02,8.5270000e-02
100,2.5000000e+02,3.5890000e-02,6.6570000e-02
100,2.6000000e+02,2.6750000e-02,5.2500000e-02
100,2.7000000e+02,2.0170000e-02,4.1770000e-02
100,2.8000000e+02,1.5380000e-02,3.3490000e-02
100,2.9000000e+02,1.1830000e-02,2.7050000e-02
100,3.0000000e+02,9.1170000e-03,2.2020000e-02
100,3.2000000e+02,5.5220000e-03,1.4960000e-02
100,3.4000000e+02,3.4210000e-03,1.0360000e-02
100,3.6000000e+02,2.1580000e-03,7.2980000e-03
100,3.8000000e+02,1.3820000e-03,5.2100000e-03
100,4.0000000e+02,8.9520000e-04,3.7630000e-03
100,4.2000000e+02,5.8630000e-04,2.7440000e-03
100,4.4000000e+02,3.8750000e-04,2.0190000e-03
100,4.6000000e+02,2.5840000e-04,1.4970000e-03
100,4.8000000e+02,1.7390000e-04,1.1170000e-03
100,5.0000000e+02,1.1820000e-04,8.3820000e-04
100,5.2000000e+02,8.1230000e-05,6.3240000e-04
100,5.4000000e+02,5.6500000e-05,4.7940000e-04
100,5.6000000e+02,3.9870000e-05,3.6510000e-04
100,5.8000000e+02,2.8590000e-05,2.7930000e-04
100,6.0000000e+02,2.0880000e-05,2.1460000e-04
100,6.2000000e+02,1.5560000e-05,1.6560000e-04
100,6.4000000e+02,1.1850000e-05,1.2840000e-04
100,6.6000000e+02,9.2300000e-06,1.0000000e-04
100,6.8000000e+02,7.3510000e-06,7.8300000e-05
100,7.0000000e+02,5.9820000e-06,6.1620000e-05
100,7.2000000e+02,4.9650000e-06,4.8790000e-05
100,7.4000000e+02,4.1950000e-06,3.8860000e-05
100,7.6000000e+02,3.6000000e-06,3.1170000e-05
100,7.8000000e+02,3.1300000e-06,2.5180000e-05
100,8.0000000e+02,2.7510000e-06,2.0500000e-05
100,8.5000000e+02,2.0000000e-06,1.3000000e-05
